employee_id,birth_date,Age,Hire_Year,Attrition,BusinessTravel,Department,Education,EducationField,Gender,EnvironmentSatisfaction,JobLevel,JobRole,JobSatisfaction,OverTime,PerformanceRating,RelationshipSatisfaction,WorkLifeBalance,YearsAtCompany,city,university,rupiah_monthly_income,vaccinations,childern,MartialStatus,Survey Year
1,6/10/1981,41,2016,Yes,Travel_Rarely,Sales,Diploma,Life Sciences,Female,2,2,Sales Executive,4,Yes,3,1,1,6,Jakarta Selatan,Universitas Negeri Semarang,10688800,One,0,Singgle,2022
2,5/11/1973,49,2012,No,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Male,3,2,Research Scientist,2,No,4,4,3,10,Tangerang Selatan,Universitas Indonesia,9308000,Two,1,Divorced,2022
4,11/13/1985,37,2022,Yes,Travel_Rarely,Research & Development,Diploma,Other,Male,4,1,Laboratory Technician,3,Yes,3,2,3,0,Bogor,Universitas Indonesia,4444000,Two,0,Singgle,2022
5,12/23/1989,33,2014,No,Travel_Frequently,Research & Development,Master,Life Sciences,Female,4,1,Research Scientist,3,Yes,3,3,3,8,Jakarta Selatan,Universitas Indonesia,5754400,One,0,Singgle,2022
7,5/17/1995,27,2020,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,1,1,Laboratory Technician,2,No,3,4,3,2,Bogor,Universitas Pendidikan Indonesia,6648800,One,0,Singgle,2022
8,3/13/1990,32,2015,No,Travel_Frequently,Research & Development,Diploma,Life Sciences,Male,4,1,Laboratory Technician,4,No,3,3,2,7,Jakarta Utara,Universitas Bina Nusantara,6008800,Booster,3,Divorced,2022
10,6/13/1963,59,2021,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Female,3,1,Laboratory Technician,1,Yes,4,1,2,1,Tangerang,Universitas Bina Nusantara,5372000,One,1,Married,2022
11,10/8/1992,30,2021,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,4,1,Laboratory Technician,3,No,4,2,3,1,Jakarta Pusat,Universitas Bina Nusantara,5408800,One,1,Married,2022
12,10/13/1984,38,2013,No,Travel_Frequently,Research & Development,Undergraduate,Life Sciences,Male,4,3,Manufacturing Director,3,No,4,2,3,9,Tangerang Selatan,Universitas Gadjah Mada,16341600,One,0,Singgle,2022
13,5/25/1986,36,2015,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,3,2,Healthcare Representative,3,No,3,2,2,7,Tangerang,Institut Pertanian Bogor,9479200,One,1,Married,2022
14,5/13/1987,35,2017,No,Travel_Rarely,Research & Development,Undergraduate,Medical,Male,1,1,Laboratory Technician,2,No,3,3,3,5,Bekasi,Universitas Padjadjaran,4981600,One,0,Singgle,2022
15,10/16/1993,29,2013,No,Travel_Rarely,Research & Development,Diploma,Life Sciences,Female,4,2,Laboratory Technician,3,Yes,3,4,3,9,Tangerang Selatan,Universitas Negeri Malang,7808800,One,1,Divorced,2022
16,4/21/1991,31,2017,No,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,1,1,Research Scientist,3,No,3,4,2,5,Tangerang,Universitas Diponegoro,5757600,Booster,1,Divorced,2022
18,11/30/1988,34,2020,No,Travel_Rarely,Research & Development,Diploma,Medical,Male,2,1,Laboratory Technician,4,No,3,3,3,2,Jakarta Selatan,Universitas Diponegoro,5357600,Booster,0,Singgle,2022
19,6/1/1994,28,2018,Yes,Travel_Rarely,Research & Development,Undergraduate,Life Sciences,Male,3,1,Laboratory Technician,3,Yes,3,2,3,4,Jakarta Pusat,Institut Teknologi Bandung,4344800,One,3,Divorced,2022
20,4/8/1993,29,2012,No,Travel_Rarely,Research & Development,Master,Life Sciences,Female,2,3,Manufacturing Director,1,No,3,3,3,10,Jakarta Utara,Universitas Sebelas Maret,17068000,Booster,0,Singgle,2022
21,1/8/1990,32,2016,No,Travel_Rarely,Research & Development,Diploma,Life Sciences,Male,1,1,Research Scientist,2,Yes,3,4,2,6,Jakarta Selatan,Institut Teknologi Sepuluh Nopember,6376800,One,0,Singgle,2022
22,5/25/2000,22,2021,No,Non-Travel,Research & Development,Diploma,Medical,Male,4,1,Laboratory Technician,4,Yes,3,2,2,1,Jakarta Selatan,Others,5796000,Booster,0,Singgle,2022
